participation_id,user_id,hackathon_id,team_id,team_role,registered_at,status
PA00098,U0565,H002,T0017,Member,2024-01-15,attended
PA00099,U0001,H003,T0032,ML/AI,2024-03-04,attended
PA00100,U0007,H003,T0032,ML/AI,2024-03-07,attended
PA00101,U0010,H003,T0037,ML/AI,2024-03-27,attended
PA00102,U0022,H003,T0040,Mobile,2024-03-28,attended
PA00103,U0024,H003,,,2024-03-03,no_show
PA00104,U0028,H003,T0039,Product,2024-03-14,attended
PA00105,U0114,H003,T0042,ML/AI,2024-03-27,attended
PA00106,U0117,H003,,,2024-03-16,no_show
PA00107,U0120,H003,T0034,Design,2024-03-25,attended
PA00108,U0134,H003,T0033,Product,2024-03-21,attended
PA00109,U0165,H003,T0039,Data,2024-03-18,attended
PA00110,U0175,H003,T0042,ML/AI,2024-03-18,attended
PA00111,U0177,H003,T0042,Backend,2024-03-17,attended
PA00112,U0180,H003,T0036,Design,2024-03-22,attended
PA00113,U0183,H003,T0033,Data,2024-03-21,attended
PA00114,U0206,H003,,,2024-03-04,no_show
PA00115,U0235,H003,T0041,Data,2024-03-11,attended
PA00116,U0278,H003,T0035,DevOps,2024-04-02,attended
PA00117,U0313,H003,T0040,Data,2024-04-02,attended
PA00118,U0334,H003,T0036,Backend,2024-03-16,attended
PA00119,U0338,H003,T0038,Member,2024-03-25,attended
PA00120,U0365,H003,T0034,Data,2024-03-07,attended
PA00121,U0405,H003,T0038,Frontend,2024-03-15,attended
PA00122,U0411,H003,T0035,Frontend,2024-02-27,attended
PA00123,U0417,H003,T0034,Lead,2024-03-16,attended
PA00124,U0443,H003,T0035,Backend,2024-02-29,attended
PA00125,U0450,H003,T0037,Product,2024-03-08,attended
PA00126,U0507,H003,T0039,Design,2024-04-02,attended
PA00127,U0515,H003,,,2024-03-30,no_show
PA00128,U0519,H003,T0036,Data,2024-03-23,attended
PA00129,U0543,H003,,,2024-03-11,no_show
PA00130,U0556,H003,T0033,DevOps,2024-03-23,attended
PA00131,U0565,H003,T0041,Member,2024-03-26,attended
PA00132,U0577,H003,T0037,DevOps,2024-03-19,attended
PA00133,U0588,H003,T0041,Lead,2024-03-24,attended
PA00134,U0596,H003,T0032,Frontend,2024-02-27,attended
PA00135,U0604,H003,T0040,Mobile,2024-03-26,attended
PA00136,U0005,H004,T0045,Data,2024-04-27,attended
PA00137,U0011,H004,,,2024-05-14,no_show
PA00138,U0018,H004,,,2024-04-16,no_show
PA00139,U0046,H004,T0050,Frontend,2024-04-11,attended
PA00140,U0059,H004,T0045,Mobile,2024-05-06,attended
PA00141,U0062,H004,T0054,Design,2024-04-15,attended
PA00142,U0069,H004,,,2024-04-12,no_show
PA00143,U0078,H004,T0049,Member,2024-05-11,attended
PA00144,U0084,H004,,,2024-05-02,no_show
PA00145,U0089,H004,T0045,Design,2024-05-05,attended
PA00146,U0096,H004,T0057,Backend,2024-05-03,attended
PA00147,U0104,H004,T0047,Frontend,2024-05-03,attended
PA00148,U0139,H004,T0051,Mobile,2024-05-14,attended
PA00149,U0153,H004,T0055,Data,2024-04-11,attended
PA00150,U0171,H004,T0047,Member,2024-05-10,attended
PA00151,U0175,H004,T0051,ML/AI,2024-04-30,attended
PA00152,U0177,H004,T0048,Backend,2024-04-11,attended
PA00153,U0180,H004,T0046,Design,2024-04-10,attended
PA00154,U0188,H004,T0043,Product,2024-04-23,attended
PA00155,U0208,H004,,,2024-05-05,no_show
PA00156,U0238,H004,,,2024-05-02,no_show
PA00157,U0272,H004,T0056,Frontend,2024-04-20,attended
PA00158,U0336,H004,T0055,Mobile,2024-04-22,attended
PA00159,U0363,H004,T0053,Product,2024-05-12,attended
PA00160,U0366,H004,,,2024-04-28,no_show
PA00161,U0368,H004,T0053,ML/AI,2024-04-25,attended
PA00162,U0369,H004,,,2024-05-15,no_show
PA00163,U0382,H004,T0046,Backend,2024-04-16,attended
PA00164,U0386,H004,T0054,DevOps,2024-05-04,attended
PA00165,U0410,H004,T0046,Data,2024-04-12,attended
PA00166,U0414,H004,T0055,ML/AI,2024-05-08,attended
PA00167,U0416,H004,T0048,Lead,2024-04-27,attended
PA00168,U0417,H004,T0053,Mobile,2024-05-04,attended
PA00169,U0420,H004,T0050,Backend,2024-05-03,attended
PA00170,U0422,H004,T0049,ML/AI,2024-04-15,attended
PA00171,U0450,H004,T0044,Backend,2024-04-27,attended
PA00172,U0475,H004,T0043,Backend,2024-04-13,attended
PA00173,U0504,H004,T0049,Product,2024-05-04,attended
PA00174,U0515,H004,T0044,Backend,2024-04-12,attended
PA00175,U0543,H004,T0054,Member,2024-04-28,attended
PA00176,U0555,H004,T0057,Member,2024-05-16,attended
PA00177,U0565,H004,T0056,Member,2024-05-13,attended
PA00178,U0574,H004,T0048,ML/AI,2024-04-12,attended
PA00179,U0582,H004,,,2024-04-11,no_show
PA00180,U0609,H004,T0044,Product,2024-04-30,attended
PA00181,U0625,H004,T0052,Backend,2024-05-05,attended
PA00182,U0637,H004,T0047,Data,2024-04-19,attended
PA00183,U0007,H005,T0071,ML/AI,2024-05-28,attended
PA00184,U0010,H005,T0068,Frontend,2024-06-07,attended
PA00185,U0029,H005,T0073,Backend,2024-06-11,attended
PA00186,U0066,H005,T0067,Frontend,2024-06-22,attended
PA00187,U0070,H005,T0062,Lead,2024-06-17,attended
PA00188,U0073,H005,T0061,Design,2024-06-19,attended
PA00189,U0075,H005,T0065,Lead,2024-05-20,attended
PA00190,U0108,H005,T0058,Design,2024-05-26,attended
PA00191,U0109,H005,T0066,Backend,2024-05-23,attended
PA00192,U0112,H005,T0064,ML/AI,2024-05-26,attended
PA00193,U0117,H005,T0063,Frontend,2024-05-27,attended
PA00194,U0139,H005,T0066,Mobile,2024-06-14,attended
PA00195,U0146,H005,T0069,Mobile,2024-06-05,attended
PA00196,U0169,H005,T0058,Lead,2024-06-15,attended
PA00197,U0193,H005,T0064,Backend,2024-05-21,attended
PA00198,U0198,H005,T0068,Data,2024-06-08,attended
PA00199,U0205,H005,T0073,Lead,2024-06-13,attended
PA00200,U0206,H005,T0067,Mobile,2024-06-07,attended
PA00201,U0209,H005,T0060,Frontend,2024-06-01,attended
PA00202,U0220,H005,T0058,Product,2024-05-28,attended
PA00203,U0242,H005,T0070,Data,2024-06-19,attended
PA00204,U0247,H005,T0072,DevOps,2024-05-30,attended
PA00205,U0280,H005,T0062,Member,2024-06-09,attended
PA00206,U0290,H005,T0063,Backend,2024-06-01,attended
PA00207,U0295,H005,T0063,Mobile,2024-06-03,attended
PA00208,U0349,H005,T0066,Frontend,2024-05-24,attended
PA00209,U0369,H005,T0068,Backend,2024-06-15,attended
PA00210,U0382,H005,T0061,Backend,2024-05-17,attended
PA00211,U0392,H005,T0070,Product,2024-06-09,attended
PA00212,U0403,H005,T0071,ML/AI,2024-06-02,attended
PA00213,U0420,H005,T0067,Product,2024-06-21,attended
PA00214,U0431,H005,T0072,ML/AI,2024-05-27,attended
PA00215,U0434,H005,T0062,Data,2024-06-19,attended
PA00216,U0441,H005,T0069,Member,2024-06-18,attended
PA00217,U0455,H005,T0060,Product,2024-06-15,attended
PA00218,U0462,H005,T0074,Backend,2024-06-03,attended
PA00219,U0463,H005,T0070,Lead,2024-05-21,attended
PA00220,U0468,H005,T0064,Design,2024-05-27,attended
PA00221,U0476,H005,T0066,Frontend,2024-05-26,attended
PA00222,U0498,H005,T0064,Member,2024-06-21,attended
PA00223,U0504,H005,T0071,Mobile,2024-06-19,attended
PA00224,U0545,H005,T0065,DevOps,2024-06-06,attended
PA00225,U0554,H005,T0058,Backend,2024-06-15,attended
PA00226,U0555,H005,,,2024-05-27,no_show
PA00227,U0631,H005,T0059,Design,2024-06-07,attended
PA00228,U0632,H005,T0075,Data,2024-05-27,attended
PA00229,U0633,H005,T0074,Member,2024-06-04,attended
PA00230,U0636,H005,T0065,Lead,2024-05-21,attended
PA00231,U0001,H006,T0090,Data,2024-07-16,attended
PA00232,U0012,H006,T0083,Backend,2024-07-26,attended
PA00233,U0033,H006,T0088,Lead,2024-08-02,attended
PA00234,U0046,H006,T0084,Frontend,2024-07-23,attended
PA00235,U0078,H006,T0089,Member,2024-07-29,attended
PA00236,U0082,H006,T0077,Design,2024-06-28,attended
PA00237,U0097,H006,T0088,ML/AI,2024-08-01,attended
PA00238,U0109,H006,T0079,Backend,2024-07-16,attended
PA00239,U0128,H006,T0081,DevOps,2024-07-16,attended
PA00240,U0150,H006,,,2024-07-02,no_show
PA00241,U0154,H006,T0088,Design,2024-07-25,attended
PA00242,U0165,H006,T0082,Data,2024-07-17,attended
PA00243,U0175,H006,T0089,Backend,2024-07-21,attended
PA00244,U0195,H006,T0082,Backend,2024-07-13,attended
PA00245,U0199,H006,T0085,Member,2024-07-31,attended
PA00246,U0215,H006,T0076,Backend,2024-07-31,attended
PA00247,U0216,H006,T0091,Mobile,2024-08-03,attended
PA00248,U0227,H006,T0085,Backend,2024-07-14,attended
PA00249,U0230,H006,T0080,ML/AI,2024-07-01,attended
PA00250,U0244,H006,T0083,Member,2024-07-04,attended
PA00251,U0270,H006,T0081,Mobile,2024-06-29,attended
PA00252,U0272,H006,T0078,Frontend,2024-07-02,attended
PA00253,U0306,H006,T0078,Backend,2024-07-14,attended
PA00254,U0371,H006,T0085,ML/AI,2024-06-28,attended
PA00255,U0378,H006,T0080,Backend,2024-07-25,attended
PA00256,U0385,H006,T0079,ML/AI,2024-07-27,attended
PA00257,U0431,H006,T0081,ML/AI,2024-07-02,attended
PA00258,U0435,H006,T0080,Design,2024-08-01,attended
PA00259,U0437,H006,T0076,Backend,2024-07-29,attended
PA00260,U0453,H006,T0087,Backend,2024-07-10,attended
PA00261,U0460,H006,T0082,Design,2024-07-05,attended
PA00262,U0468,H006,T0086,Design,2024-07-18,attended
PA00263,U0487,H006,T0077,Product,2024-07-26,attended
PA00264,U0494,H006,T0086,Frontend,2024-06-29,attended
PA00265,U0495,H006,T0076,Product,2024-07-17,attended
PA00266,U0505,H006,T0090,Lead,2024-07-08,attended
PA00267,U0510,H006,T0089,Frontend,2024-07-20,attended
PA00268,U0511,H006,,,2024-07-04,no_show
PA00269,U0543,H006,T0086,Member,2024-06-28,attended
PA00270,U0566,H006,,,2024-06-28,no_show
PA00271,U0584,H006,T0084,Member,2024-07-09,attended
PA00272,U0625,H006,T0078,Backend,2024-07-18,attended
PA00273,U0626,H006,T0083,Backend,2024-07-25,attended
PA00274,U0003,H007,T0100,Lead,2024-08-23,attended
PA00275,U0008,H007,T0100,Backend,2024-08-21,attended
PA00276,U0010,H007,T0095,Frontend,2024-09-03,attended
PA00277,U0023,H007,T0107,Design,2024-09-05,attended
PA00278,U0025,H007,T0098,ML/AI,2024-09-03,attended
PA00279,U0027,H007,T0107,Backend,2024-08-06,attended
PA00280,U0045,H007,T0094,Lead,2024-09-10,attended
PA00281,U0054,H007,T0105,ML/AI,2024-08-06,attended
PA00282,U0069,H007,T0106,Member,2024-09-07,attended
PA00283,U0077,H007,T0103,Product,2024-09-07,attended
PA00284,U0085,H007,T0099,Backend,2024-09-02,attended
PA00285,U0090,H007,T0098,Data,2024-08-12,attended
PA00286,U0092,H007,,,2024-08-29,no_show
PA00287,U0095,H007,T0099,Design,2024-08-29,attended
PA00288,U0111,H007,T0094,Data,2024-08-30,attended
PA00289,U0112,H007,T0097,ML/AI,2024-09-10,attended
PA00290,U0119,H007,T0102,Product,2024-09-11,attended
PA00291,U0139,H007,T0104,Mobile,2024-08-06,attended
PA00292,U0144,H007,T0097,Design,2024-08-31,attended
PA00293,U0148,H007,T0092,Mobile,2024-09-05,attended
PA00294,U0159,H007,T0106,Product,2024-08-30,attended
PA00295,U0175,H007,,,2024-08-24,no_show
PA00296,U0176,H007,T0095,Backend,2024-08-05,attended
PA00297,U0179,H007,,,2024-09-03,no_show
PA00298,U0188,H007,T0104,Product,2024-08-15,attended
PA00299,U0222,H007,T0101,DevOps,2024-09-02,attended
PA00300,U0231,H007,T0099,Member,2024-09-05,attended
PA00301,U0235,H007,T0108,Data,2024-08-22,attended
PA00302,U0237,H007,T0104,Lead,2024-08-11,attended
PA00303,U0250,H007,T0108,Backend,2024-08-15,attended
PA00304,U0259,H007,T0094,Product,2024-08-13,attended
PA00305,U0265,H007,T0096,Member,2024-08-17,attended
PA00306,U0299,H007,T0103,Lead,2024-08-22,attended
PA00307,U0303,H007,T0102,Backend,2024-08-13,attended
PA00308,U0315,H007,T0093,Product,2024-09-01,attended
PA00309,U0317,H007,T0096,Frontend,2024-09-05,attended
PA00310,U0331,H007,T0105,Lead,2024-09-07,attended
PA00311,U0361,H007,T0100,Backend,2024-08-31,attended
PA00312,U0373,H007,,,2024-08-07,no_show
PA00313,U0382,H007,T0098,Backend,2024-08-29,attended
PA00314,U0385,H007,T0108,Mobile,2024-08-24,attended
PA00315,U0400,H007,,,2024-08-29,no_show
PA00316,U0407,H007,T0093,Backend,2024-08-19,attended
PA00317,U0408,H007,T0107,Lead,2024-08-13,attended
PA00318,U0409,H007,T0104,Design,2024-08-26,attended
PA00319,U0440,H007,T0095,DevOps,2024-08-13,attended
PA00320,U0441,H007,T0100,Mobile,2024-08-22,attended
PA00321,U0443,H007,T0097,Backend,2024-08-25,attended
PA00322,U0465,H007,T0105,Backend,2024-08-30,attended
PA00323,U0479,H007,T0092,Data,2024-08-10,attended
PA00324,U0495,H007,T0105,Product,2024-08-18,attended
PA00325,U0531,H007,,,2024-08-10,no_show
PA00326,U0582,H007,T0096,Design,2024-08-29,attended
PA00327,U0629,H007,T0097,Frontend,2024-08-16,attended
PA00328,U0640,H007,T0092,Member,2024-08-14,attended
PA00329,U0011,H008,,,2024-10-15,no_show
PA00330,U0016,H008,T0114,Mobile,2024-10-17,attended
PA00331,U0038,H008,T0121,DevOps,2024-10-08,attended
PA00332,U0043,H008,T0109,ML/AI,2024-10-06,attended
PA00333,U0044,H008,T0116,Frontend,2024-09-25,attended
PA00334,U0059,H008,T0110,Product,2024-10-21,attended
PA00335,U0095,H008,T0119,Design,2024-09-22,attended
PA00336,U0111,H008,,,2024-10-15,no_show
PA00337,U0122,H008,T0115,ML/AI,2024-10-21,attended
PA00338,U0140,H008,T0115,Member,2024-10-13,attended
PA00339,U0146,H008,T0111,Mobile,2024-09-17,attended
PA00340,U0148,H008,T0119,Frontend,2024-10-12,attended
PA00341,U0153,H008,T0121,ML/AI,2024-09-22,attended
PA00342,U0157,H008,T0110,Lead,2024-09-21,attended
PA00343,U0164,H008,T0115,Frontend,2024-09-15,attended
PA00344,U0174,H008,T0114,Backend,2024-09-21,attended
PA00345,U0195,H008,T0116,Member,2024-10-13,attended
PA00346,U0200,H008,T0109,DevOps,2024-09-29,attended
PA00347,U0201,H008,T0117,Frontend,2024-10-14,attended
PA00348,U0206,H008,T0113,Mobile,2024-10-15,attended
PA00349,U0218,H008,T0120,Lead,2024-10-17,attended
PA00350,U0259,H008,,,2024-09-25,no_show
PA00351,U0283,H008,T0112,Design,2024-09-30,attended
PA00352,U0297,H008,T0116,Lead,2024-10-12,attended
PA00353,U0303,H008,T0111,Design,2024-09-15,attended
PA00354,U0351,H008,,,2024-10-19,no_show
PA00355,U0389,H008,T0119,ML/AI,2024-10-10,attended
PA00356,U0419,H008,T0112,Frontend,2024-10-10,attended
PA00357,U0420,H008,T0113,Backend,2024-10-05,attended
PA00358,U0431,H008,T0110,Backend,2024-09-23,attended
PA00359,U0436,H008,T0120,Member,2024-10-06,attended
PA00360,U0437,H008,T0117,Backend,2024-09-20,attended
PA00361,U0441,H008,T0111,Frontend,2024-09-27,attended
PA00362,U0442,H008,T0112,Member,2024-10-06,attended
PA00363,U0444,H008,T0113,Frontend,2024-10-17,attended
PA00364,U0456,H008,T0114,Frontend,2024-09-22,attended
PA00365,U0458,H008,T0119,ML/AI,2024-10-04,attended
PA00366,U0464,H008,T0118,Mobile,2024-09-16,attended
PA00367,U0492,H008,T0120,Product,2024-10-01,attended
PA00368,U0518,H008,T0116,Member,2024-10-07,attended
PA00369,U0536,H008,T0117,Data,2024-10-14,attended
PA00370,U0565,H008,T0118,Member,2024-10-08,attended
PA00371,U0566,H008,T0121,Product,2024-09-24,attended
PA00372,U0569,H008,T0113,Lead,2024-09-28,attended
PA00373,U0593,H008,T0117,Mobile,2024-10-21,attended
PA00374,U0613,H008,T0110,Frontend,2024-09-27,attended
PA00375,U0616,H008,T0111,DevOps,2024-10-20,attended
PA00376,U0636,H008,T0118,Product,2024-10-12,attended
PA00377,U0007,H009,T0122,ML/AI,2024-11-13,attended
PA00378,U0015,H009,T0129,ML/AI,2024-11-09,attended
PA00379,U0052,H009,T0127,Lead,2024-11-18,attended
PA00380,U0081,H009,T0133,DevOps,2024-11-04,attended
PA00381,U0085,H009,T0128,Backend,2024-11-21,attended
PA00382,U0129,H009,T0134,DevOps,2024-11-13,attended
PA00383,U0136,H009,T0123,Backend,2024-11-11,attended
PA00384,U0140,H009,T0125,DevOps,2024-11-03,attended
PA00385,U0143,H009,T0123,Product,2024-10-31,attended
PA00386,U0151,H009,T0127,Data,2024-11-03,attended
PA00387,U0175,H009,T0126,ML/AI,2024-11-23,attended
PA00388,U0178,H009,T0131,Backend,2024-10-30,attended
PA00389,U0214,H009,T0127,Backend,2024-11-04,attended
PA00390,U0217,H009,,,2024-11-25,no_show
PA00391,U0220,H009,,,2024-11-12,no_show
PA00392,U0240,H009,T0131,Backend,2024-11-04,attended
PA00393,U0242,H009,T0135,Data,2024-11-04,attended
PA00394,U0251,H009,T0126,Data,2024-10-30,attended
PA00395,U0269,H009,T0124,Data,2024-11-09,attended
PA00396,U0298,H009,T0126,Lead,2024-11-09,attended
PA00397,U0323,H009,T0129,Mobile,2024-11-20,attended
PA00398,U0326,H009,T0130,Backend,2024-10-28,attended
PA00399,U0330,H009,T0122,Backend,2024-11-22,attended
PA00400,U0351,H009,T0133,Data,2024-10-29,attended
PA00401,U0352,H009,T0134,Backend,2024-11-09,attended
PA00402,U0365,H009,T0132,Data,2024-11-20,attended
PA00403,U0371,H009,T0124,ML/AI,2024-11-18,attended
PA00404,U0403,H009,T0133,Member,2024-11-01,attended
PA00405,U0414,H009,T0128,Backend,2024-11-24,attended
PA00406,U0422,H009,T0128,Mobile,2024-11-05,attended
PA00407,U0434,H009,T0125,Data,2024-11-24,attended
PA00408,U0436,H009,T0134,Design,2024-11-22,attended
PA00409,U0443,H009,T0129,Backend,2024-11-20,attended
PA00410,U0450,H009,T0125,Mobile,2024-11-27,attended
PA00411,U0456,H009,T0125,Frontend,2024-11-28,attended
PA00412,U0457,H009,,,2024-11-08,no_show
PA00413,U0472,H009,T0133,Product,2024-11-22,attended
PA00414,U0478,H009,,,2024-11-09,no_show
PA00415,U0482,H009,,,2024-11-29,no_show
PA00416,U0512,H009,T0135,Frontend,2024-11-30,attended
PA00417,U0521,H009,,,2024-11-30,no_show
PA00418,U0566,H009,T0135,Design,2024-11-11,attended
PA00419,U0587,H009,T0126,Backend,2024-11-01,attended
PA00420,U0602,H009,T0130,Design,2024-11-13,attended
PA00421,U0613,H009,T0123,Frontend,2024-11-03,attended
PA00422,U0616,H009,T0135,Member,2024-11-22,attended
PA00423,U0618,H009,T0131,Member,2024-10-28,attended
PA00424,U0001,H010,T0146,ML/AI,2024-12-26,attended
PA00425,U0005,H010,T0136,Data,2024-12-28,attended
PA00426,U0010,H010,T0141,Frontend,2024-12-10,attended
PA00427,U0012,H010,T0147,Backend,2024-12-08,attended
PA00428,U0026,H010,T0150,Member,2024-12-05,attended
PA00429,U0045,H010,T0143,Lead,2024-12-22,attended
PA00430,U0059,H010,T0136,Mobile,2024-12-17,attended
PA00431,U0066,H010,T0138,Frontend,2024-12-25,attended
PA00432,U0073,H010,T0140,Design,2024-12-20,attended
PA00433,U0077,H010,T0147,Product,2024-12-16,attended
PA00434,U0102,H010,,,2024-12-21,no_show
PA00435,U0118,H010,T0145,Data,2024-12-07,attended
PA00436,U0148,H010,T0144,Mobile,2025-01-02,attended
PA00437,U0150,H010,,,2025-01-05,no_show
PA00438,U0160,H010,T0138,Backend,2024-12-19,attended
PA00439,U0172,H010,T0146,Lead,2024-12-27,attended
PA00440,U0184,H010,T0139,DevOps,2024-12-21,attended
PA00441,U0186,H010,T0141,Design,2024-12-12,attended
PA00442,U0200,H010,T0139,ML/AI,2024-12-13,attended
PA00443,U0201,H010,T0144,Lead,2024-12-11,attended
PA00444,U0215,H010,T0147,Frontend,2024-12-27,attended
PA00445,U0259,H010,T0143,Frontend,2025-01-01,attended
PA00446,U0267,H010,T0142,DevOps,2024-12-05,attended
PA00447,U0281,H010,T0146,Lead,2024-12-18,attended
PA00448,U0313,H010,T0142,Data,2024-12-22,attended
PA00449,U0315,H010,T0149,Product,2025-01-02,attended
PA00450,U0338,H010,T0148,Member,2024-12-27,attended
PA00451,U0356,H010,,,2024-12-15,no_show
PA00452,U0398,H010,T0150,Member,2024-12-25,attended
PA00453,U0410,H010,T0149,Data,2024-12-12,attended
PA00454,U0424,H010,T0142,Product,2025-01-04,attended
PA00455,U0433,H010,T0149,Frontend,2024-12-05,attended
PA00456,U0450,H010,T0141,Design,2024-12-31,attended
PA00457,U0463,H010,T0137,Mobile,2025-01-05,attended
PA00458,U0480,H010,T0145,DevOps,2024-12-30,attended
PA00459,U0494,H010,T0150,Frontend,2024-12-01,attended
PA00460,U0515,H010,T0136,Backend,2024-12-13,attended
PA00461,U0555,H010,T0151,Member,2024-12-22,attended
PA00462,U0556,H010,T0137,DevOps,2024-12-07,attended
PA00463,U0566,H010,T0138,Product,2024-12-18,attended
PA00464,U0572,H010,T0140,DevOps,2024-12-20,attended
PA00465,U0596,H010,T0143,Frontend,2024-12-19,attended
PA00466,U0613,H010,T0145,Frontend,2024-12-17,attended
PA00467,U0008,H011,T0155,Backend,2025-01-11,attended
PA00468,U0017,H011,T0153,Member,2025-02-01,attended
PA00469,U0029,H011,T0160,Member,2025-01-06,attended
PA00470,U0034,H011,T0161,ML/AI,2025-01-25,attended
PA00471,U0036,H011,T0158,Frontend,2025-02-04,attended
