interaction_id,user_id,hackathon_id,type,timestamp,text
I00127,U0010,,comment,2026-05-06T16:40:38,Does the sponsor prize require using their hosted version or is self-hosted fine?
I00128,U0010,H022,comment,2026-05-17T18:58:48,The mentor feedback on scoping was the single most useful thing this weekend.
I00129,U0010,H013,question,2025-05-09T21:18:54,What is the best way to handle auth for a demo that has to work offline?
I00130,U0010,H019,comment,2026-01-01T21:32:08,"Our team is two people short, DM me if you want to join a GenAI track build."
I00131,U0010,H010,discord_message,2025-01-24T12:02:51,"pushing the fix now, pull before you touch the retrieval service"
I00132,U0010,H003,comment,2024-04-16T08:55:11,"Judging felt fair this time, the rubric being published in advance helped a lot."
I00133,U0010,H010,question,2025-01-06T15:33:29,Is the dataset they provided allowed to be augmented with external data?
I00134,U0010,,workshop_attended,2024-12-30T17:08:27,
I00135,U0010,H003,workshop_attended,2024-04-13T16:48:51,
I00136,U0010,H007,comment,2024-09-19T13:02:12,"Our demo broke live and we still placed, so do not panic if yours does."
I00137,U0010,H001,question,2024-01-20T16:08:46,Is the dataset they provided allowed to be augmented with external data?
I00138,U0010,,question,2026-05-18T08:10:17,Is there a template for the submission writeup anywhere?
I00139,U0010,H019,discord_message,2026-01-16T12:17:45,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00140,U0010,H007,comment,2024-09-16T17:11:29,Does the sponsor prize require using their hosted version or is self-hosted fine?
I00141,U0010,,answered_question,2025-12-30T21:54:16,"Use a hotspot for the demo, the venue wifi drops under load every year."
I00142,U0010,H010,workshop_attended,2025-01-11T20:00:25,
I00143,U0010,H007,workshop_attended,2024-09-23T23:12:21,
I00144,U0010,H001,workshop_attended,2024-01-12T12:22:01,
I00145,U0010,H016,discord_message,2025-08-18T22:12:16,"moving our table to near the power outlets, we are at 22 now"
I00146,U0011,,comment,2026-06-18T09:30:42,"Our demo broke live and we still placed, so do not panic if yours does."
I00147,U0011,,workshop_attended,2025-02-07T23:54:09,
I00148,U0011,H012,comment,2025-03-18T20:58:06,Really liked that the results were announced with the score breakdown.
I00149,U0012,H014,workshop_attended,2025-06-17T17:06:31,
I00150,U0012,H006,workshop_attended,2024-07-24T10:20:54,
I00151,U0012,H018,workshop_attended,2025-11-08T12:55:48,
I00152,U0012,H014,workshop_attended,2025-06-11T12:43:40,
I00153,U0012,,workshop_attended,2025-01-06T16:28:12,
I00154,U0012,H023,workshop_attended,2026-07-01T09:48:40,
I00155,U0012,,answered_question,2026-01-07T08:17:37,You get three minutes plus two for questions. They are strict about it.
I00156,U0012,,answered_question,2024-07-21T09:10:15,"Yes, self-hosted counts for the prize track, it was confirmed on the Discord at 11am."
I00157,U0012,H018,discord_message,2025-11-06T11:12:34,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00158,U0012,,answered_question,2025-03-21T08:02:24,Fine-tuning is allowed. Two teams did it last year.
I00159,U0012,H006,answered_question,2024-08-01T13:35:52,"The cap is four this time, it changed from last edition."
I00160,U0012,H014,workshop_attended,2025-06-08T15:52:36,
I00161,U0012,H014,answered_question,2025-06-25T22:28:09,"The cap is four this time, it changed from last edition."
I00162,U0012,,answered_question,2026-04-04T19:35:43,The writeup template is linked in the pinned message on the announcements channel.
I00163,U0012,H018,answered_question,2025-11-22T22:13:04,"For offline auth just stub it and say so, nobody marks you down for that."
I00164,U0012,H023,answered_question,2026-06-30T11:24:28,"For offline auth just stub it and say so, nobody marks you down for that."
I00165,U0012,H010,question,2025-01-06T18:07:35,"Is there a rate limit on the embeddings endpoint, and if so what is it?"
I00166,U0012,H018,answered_question,2025-11-27T10:11:35,"Free tier handles that node count fine, but create your indexes before bulk loading."
I00167,U0012,,answered_question,2025-06-25T12:38:18,"Judges look at the running product first, code only if they have doubts."
I00168,U0012,H014,answered_question,2025-06-19T14:15:30,"If your deployment dies they will let you show a recording, but tell them beforehand."
I00169,U0012,H010,answered_question,2025-01-07T12:34:44,"The cap is four this time, it changed from last edition."
I00170,U0012,H018,question,2025-11-07T12:51:53,"How long do we get for the demo, including questions?"
I00171,U0012,H014,discord_message,2025-06-19T19:24:04,"demo script is in the shared doc, please read it before we rehearse"
I00172,U0012,,answered_question,2024-11-06T15:27:11,Fine-tuning is allowed. Two teams did it last year.
I00173,U0012,,answered_question,2024-07-22T10:55:46,"For offline auth just stub it and say so, nobody marks you down for that."
I00174,U0012,,answered_question,2026-09-01T15:48:31,Rate limit is 60 requests per minute per key. Batch your calls.
I00175,U0012,H010,answered_question,2025-01-22T23:43:40,"If your deployment dies they will let you show a recording, but tell them beforehand."
I00176,U0012,H006,answered_question,2024-07-28T11:11:42,"Yes, self-hosted counts for the prize track, it was confirmed on the Discord at 11am."
I00177,U0012,,discord_message,2025-07-06T22:34:30,"we are cutting the matchmaking feature, no time"
I00178,U0012,H006,answered_question,2024-08-09T21:24:17,"You can be on two teams but you can only win once, which they enforce."
I00179,U0012,,discord_message,2025-03-17T15:23:25,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00180,U0012,H010,answered_question,2025-01-17T09:30:27,"The cap is four this time, it changed from last edition."
I00181,U0012,H018,answered_question,2025-11-10T10:19:15,"Free tier handles that node count fine, but create your indexes before bulk loading."
I00182,U0012,H018,comment,2025-11-29T23:01:58,"The wifi in hall B is unusable, switching to a hotspot if anyone wants to share."
I00183,U0012,,answered_question,2026-07-28T10:47:34,"The cap is four this time, it changed from last edition."
I00184,U0012,H023,comment,2026-06-21T11:56:59,"Shout-out to whoever left the HDMI adapter at table 14, you saved our demo."
I00185,U0012,H014,answered_question,2025-05-31T10:43:55,"The cap is four this time, it changed from last edition."
I00186,U0012,,answered_question,2026-07-30T09:17:41,You get three minutes plus two for questions. They are strict about it.
I00187,U0012,H023,answered_question,2026-07-12T15:56:04,"For offline auth just stub it and say so, nobody marks you down for that."
I00188,U0012,H014,answered_question,2025-06-20T09:34:46,"Judges look at the running product first, code only if they have doubts."
I00189,U0012,H006,answered_question,2024-08-16T09:45:13,"Yes, self-hosted counts for the prize track, it was confirmed on the Discord at 11am."
I00190,U0012,H006,discord_message,2024-08-14T21:18:07,anyone awake? stuck on a merge conflict in the schema file
I00191,U0012,,answered_question,2026-02-03T09:34:24,Rate limit is 60 requests per minute per key. Batch your calls.
I00192,U0012,H023,answered_question,2026-07-06T20:30:35,Rate limit is 60 requests per minute per key. Batch your calls.
I00193,U0013,,workshop_attended,2026-01-01T10:52:11,
I00194,U0013,H021,workshop_attended,2026-03-31T08:37:20,
I00195,U0013,,discord_message,2025-07-14T11:34:15,"demo script is in the shared doc, please read it before we rehearse"
I00196,U0013,H021,comment,2026-03-24T09:30:12,"We pivoted at 3am and it was the right call, the first idea had no demo path."
I00197,U0013,H017,discord_message,2025-09-22T19:01:23,"found the bug, it was a timezone thing in the date parsing"
I00198,U0013,,discord_message,2026-03-30T17:30:24,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00199,U0013,H023,profile_update,2026-06-18T14:39:42,
I00200,U0013,H017,profile_update,2025-10-10T21:45:00,
I00201,U0013,H023,answered_question,2026-06-21T12:42:30,"Free tier handles that node count fine, but create your indexes before bulk loading."
I00202,U0013,H023,discord_message,2026-06-24T16:11:58,"going to sleep for 90 minutes, ping me if the build breaks"
I00203,U0013,,comment,2025-10-20T23:55:40,"Our team is two people short, DM me if you want to join a GenAI track build."
I00204,U0013,,question,2025-10-29T18:36:53,Are teams allowed to be four people or is three the cap this time?
I00205,U0014,H024,comment,2026-08-14T09:27:44,"We pivoted at 3am and it was the right call, the first idea had no demo path."
I00206,U0014,H017,discord_message,2025-10-10T22:50:02,"moving our table to near the power outlets, we are at 22 now"
I00207,U0014,H017,workshop_attended,2025-09-28T10:50:12,
I00208,U0014,H022,comment,2026-05-31T14:06:38,Coffee has run out on floor 2 for anyone planning their next hour around it.
I00209,U0014,H013,answered_question,2025-05-07T21:24:23,"The cap is four this time, it changed from last edition."
I00210,U0014,H013,comment,2025-05-18T11:39:40,Really liked that the results were announced with the score breakdown.
I00211,U0014,H017,comment,2025-09-25T17:45:45,"Reminder that the submission deadline is 6pm not 8pm, it changed on the Discord."
I00212,U0014,H017,answered_question,2025-10-09T11:50:08,"If your deployment dies they will let you show a recording, but tell them beforehand."
I00213,U0014,H024,discord_message,2026-08-17T21:56:50,"demo script is in the shared doc, please read it before we rehearse"
I00214,U0014,H024,question,2026-08-10T19:34:57,What happens if our deployment goes down during judging?
I00215,U0014,H017,question,2025-10-07T18:20:09,Are teams allowed to be four people or is three the cap this time?
I00216,U0014,,comment,2026-08-30T09:12:59,"Our team is two people short, DM me if you want to join a GenAI track build."
I00217,U0014,H017,question,2025-09-28T19:55:45,What happens if our deployment goes down during judging?
I00218,U0014,,profile_update,2026-03-10T19:52:06,
I00219,U0014,H017,discord_message,2025-09-20T13:07:03,"demo script is in the shared doc, please read it before we rehearse"
I00220,U0014,,comment,2025-04-25T19:01:38,Anyone have a spare USB-C charger? Ours walked off.
I00221,U0015,,discord_message,2025-06-08T14:04:51,"the api key rotated, new one is in the env file on the shared drive"
I00222,U0015,,comment,2026-09-16T08:52:53,"Shout-out to whoever left the HDMI adapter at table 14, you saved our demo."
I00223,U0015,,profile_update,2026-04-13T11:16:31,
I00224,U0015,H015,discord_message,2025-07-25T12:46:10,anyone awake? stuck on a merge conflict in the schema file
I00225,U0015,,workshop_attended,2025-01-31T16:46:05,
I00226,U0015,H020,discord_message,2026-02-15T15:03:03,"moving our table to near the power outlets, we are at 22 now"
I00227,U0015,H015,comment,2025-07-07T16:30:51,Coffee has run out on floor 2 for anyone planning their next hour around it.
I00228,U0016,H013,comment,2025-05-05T14:56:52,"Judging felt fair this time, the rubric being published in advance helped a lot."
I00229,U0016,,comment,2025-03-03T18:44:41,"Great talk on vector databases, the part about hybrid retrieval was the useful bit."
I00230,U0016,H013,workshop_attended,2025-05-06T10:15:49,
I00231,U0016,H019,workshop_attended,2026-01-11T08:31:55,
I00232,U0016,H013,answered_question,2025-05-17T18:56:05,"For offline auth just stub it and say so, nobody marks you down for that."
I00233,U0016,H008,workshop_attended,2024-10-19T12:40:03,
I00234,U0016,H019,question,2026-01-12T22:20:06,"Is there a rate limit on the embeddings endpoint, and if so what is it?"
I00235,U0016,H013,answered_question,2025-05-16T11:04:11,Fine-tuning is allowed. Two teams did it last year.
I00236,U0017,H018,comment,2025-12-02T20:07:28,"Our demo broke live and we still placed, so do not panic if yours does."
I00237,U0017,H018,question,2025-11-21T14:45:42,What is the best way to handle auth for a demo that has to work offline?
I00238,U0017,H018,question,2025-11-23T18:44:41,Do judges want to see the code or just the running product?
I00239,U0017,,profile_update,2026-03-15T23:02:40,
I00240,U0017,H018,profile_update,2025-11-06T19:51:35,
I00241,U0018,,question,2026-06-25T15:09:39,Can one person be on two teams for different tracks?
I00242,U0018,H014,discord_message,2025-06-19T20:56:33,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00243,U0018,,comment,2025-06-07T21:09:00,Really liked that the results were announced with the score breakdown.
I00244,U0018,H014,discord_message,2025-06-15T19:02:21,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00245,U0018,H014,comment,2025-06-10T14:21:45,"Great talk on vector databases, the part about hybrid retrieval was the useful bit."
I00246,U0018,H014,discord_message,2025-06-26T19:29:20,"pushing the fix now, pull before you touch the retrieval service"
I00247,U0018,H004,comment,2024-05-23T12:49:57,"Our demo broke live and we still placed, so do not panic if yours does."
I00248,U0019,,profile_update,2026-02-11T20:52:52,
I00249,U0019,H018,answered_question,2025-11-30T12:58:45,"Free tier handles that node count fine, but create your indexes before bulk loading."
I00250,U0019,,question,2025-09-07T08:06:34,Is model fine-tuning allowed or is it inference only?
I00251,U0019,H015,comment,2025-07-17T08:24:20,"The wifi in hall B is unusable, switching to a hotspot if anyone wants to share."
I00252,U0019,H018,question,2025-11-11T20:34:12,"Is there a rate limit on the embeddings endpoint, and if so what is it?"
I00253,U0020,,answered_question,2026-05-19T19:53:44,"For offline auth just stub it and say so, nobody marks you down for that."
I00254,U0020,H022,answered_question,2026-05-25T20:57:34,You get three minutes plus two for questions. They are strict about it.
I00255,U0020,H022,workshop_attended,2026-05-28T20:36:13,
I00256,U0020,,answered_question,2026-05-17T20:56:58,"If your deployment dies they will let you show a recording, but tell them beforehand."
I00257,U0020,H022,comment,2026-05-12T14:41:18,"Shout-out to whoever left the HDMI adapter at table 14, you saved our demo."
I00258,U0022,H012,answered_question,2025-03-18T15:11:22,"Judges look at the running product first, code only if they have doubts."
I00259,U0022,,answered_question,2025-02-08T08:21:01,"Free tier handles that node count fine, but create your indexes before bulk loading."
I00260,U0022,H012,discord_message,2025-04-06T23:32:47,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00261,U0022,H003,discord_message,2024-04-16T14:28:52,"going to sleep for 90 minutes, ping me if the build breaks"
I00262,U0022,H012,question,2025-03-12T09:58:27,Are we expected to present on the main stage or at our table?
I00263,U0022,,discord_message,2026-07-22T20:40:59,anyone awake? stuck on a merge conflict in the schema file
I00264,U0022,H012,comment,2025-04-06T13:48:08,"Shout-out to whoever left the HDMI adapter at table 14, you saved our demo."
I00265,U0022,H003,comment,2024-03-26T12:46:13,Anyone have a spare USB-C charger? Ours walked off.
I00266,U0023,H007,discord_message,2024-09-17T17:26:39,"moving our table to near the power outlets, we are at 22 now"
I00267,U0023,H007,workshop_attended,2024-09-17T18:03:06,
I00268,U0024,H017,discord_message,2025-09-26T22:46:18,"pushing the fix now, pull before you touch the retrieval service"
I00269,U0024,H019,workshop_attended,2025-12-31T12:41:35,
I00270,U0024,,comment,2025-01-23T12:35:47,"Reminder that the submission deadline is 6pm not 8pm, it changed on the Discord."
I00271,U0024,H003,answered_question,2024-04-18T23:03:56,"If your deployment dies they will let you show a recording, but tell them beforehand."
I00272,U0024,H016,comment,2025-08-22T17:06:24,"Our team is two people short, DM me if you want to join a GenAI track build."
I00273,U0024,,comment,2026-06-29T12:25:07,Third hackathon here and the organisation keeps getting better.
I00274,U0024,H017,comment,2025-10-04T16:23:38,Anyone else getting a 429 from the sponsor API? Third time in ten minutes.
I00275,U0024,H003,profile_update,2024-03-29T08:11:59,
I00276,U0024,,comment,2024-06-22T08:53:05,"Our demo broke live and we still placed, so do not panic if yours does."
I00277,U0025,,discord_message,2025-09-04T20:25:11,"pushing the fix now, pull before you touch the retrieval service"
I00278,U0025,H018,question,2025-11-14T09:20:33,Do judges want to see the code or just the running product?
I00279,U0025,H017,question,2025-09-24T19:54:41,Do judges want to see the code or just the running product?
I00280,U0025,H018,discord_message,2025-11-27T14:05:36,"we are cutting the matchmaking feature, no time"
I00281,U0026,,question,2025-02-26T19:58:07,Does anyone know if the AuraDB free tier can handle a few hundred thousand nodes?
I00282,U0026,H010,profile_update,2025-01-19T22:25:33,
I00283,U0026,H022,comment,2026-05-25T16:00:55,"Judging felt fair this time, the rubric being published in advance helped a lot."
I00284,U0026,H022,discord_message,2026-05-28T20:53:09,"going to sleep for 90 minutes, ping me if the build breaks"
I00285,U0027,H007,discord_message,2024-09-17T19:27:43,"i am taking the ingestion path, you take the UI, lets not touch the same files"
I00286,U0027,,discord_message,2025-10-26T13:09:19,"the api key rotated, new one is in the env file on the shared drive"
I00287,U0027,,question,2025-08-12T17:07:15,Is the dataset they provided allowed to be augmented with external data?
I00288,U0027,H007,comment,2024-09-28T15:33:20,"Shout-out to whoever left the HDMI adapter at table 14, you saved our demo."
I00289,U0027,,question,2024-11-06T19:46:06,What is the best way to handle auth for a demo that has to work offline?
I00290,U0027,,discord_message,2024-06-30T17:36:54,"rehearsed twice, we are at 3:10 so we need to cut about twenty seconds"
I00291,U0028,,profile_update,2025-04-25T17:28:55,
I00292,U0028,H003,comment,2024-04-05T20:06:18,"We pivoted at 3am and it was the right call, the first idea had no demo path."
