team_id,hackathon_id,team_name,team_size
T0161,H011,Humble Monoliths,3
T0162,H011,Neon Pipelines,3
T0163,H011,Humble Anchors,3
T0164,H012,Midnight Registers,4
T0165,H012,Quantum Payloads,3
T0166,H012,Granite Runtimes,4
T0167,H012,Velvet Buffers,3
T0168,H012,Wandering Beacons,3
T0169,H012,Lucid Daemons,3
T0170,H012,Neon Cascades,2
T0171,H012,Cobalt Pipelines,3
T0172,H012,Static Cascades,3
T0173,H012,Brass Compilers,3
T0174,H012,Crimson Beacons,3
T0175,H012,Rapid Beacons,3
T0176,H012,Velvet Runtimes,3
T0177,H012,Cobalt Vectors,2
T0178,H013,Neon Buffers,3
T0179,H013,Wandering Vectors,3
T0180,H013,Lucid Runtimes,3
T0181,H013,Neon Pointers,3
T0182,H013,Humble Lambdas,2
T0183,H013,Velvet Shards,3
T0184,H013,Crimson Lambdas,2
T0185,H013,Silent Compilers,3
T0186,H013,Quantum Payloads,3
T0187,H013,Static Shards,3
T0188,H013,Wandering Monoliths,2
T0189,H013,Iron Anchors,3
T0190,H013,Granite Runtimes,3
T0191,H013,Neon Daemons,3
T0192,H013,Wandering Cursors,3
T0193,H013,Silent Cursors,3
T0194,H013,Silent Callbacks,3
T0195,H013,Rogue Compilers,3
T0196,H013,Brass Segfaults,1
T0197,H014,Iron Beacons,3
T0198,H014,Copper Kernels,3
T0199,H014,Crimson Cursors,3
T0200,H014,Paper Lambdas,3
T0201,H014,Hollow Kernels,3
T0202,H014,Frantic Segfaults,4
T0203,H014,Quantum Gradients,4
T0204,H014,Lucid Compilers,4
T0205,H014,Obsidian Pipelines,4
T0206,H014,Iron Shards,3
T0207,H014,Iron Pointers,3
T0208,H014,Polar Pipelines,4
T0209,H014,Rogue Tensors,2
T0210,H015,Midnight Lambdas,4
T0211,H015,Cobalt Tensors,2
T0212,H015,Rogue Beacons,3
T0213,H015,Humble Gradients,3
T0214,H015,Silent Pipelines,4
T0215,H015,Neon Mutexes,4
T0216,H015,Granite Vectors,3
T0217,H015,Rogue Compilers,3
T0218,H015,Hollow Segfaults,4
T0219,H015,Stray Heaps,3
T0220,H016,Granite Shards,3
T0221,H016,Stray Compilers,2
T0222,H016,Amber Gradients,3
T0223,H016,Hollow Daemons,3
T0224,H016,Lucid Cursors,3
T0225,H016,Rogue Threads,3
T0226,H016,Granite Runtimes,3
T0227,H016,Brass Pointers,3
T0228,H016,Quantum Compilers,3
T0229,H016,Velvet Tensors,3
T0230,H016,Neon Gradients,2
T0231,H016,Static Daemons,3
T0232,H016,Crimson Mutexes,2
T0233,H016,Quantum Anchors,3
T0234,H016,Copper Kernels,1
T0235,H016,Crimson Tensors,3
T0236,H016,Granite Vectors,3
T0237,H016,Feral Callbacks,3
T0238,H017,Frantic Daemons,4
T0239,H017,Lucid Registers,3
T0240,H017,Frantic Registers,3
T0241,H017,Paper Pointers,3
T0242,H017,Frantic Vectors,3
T0243,H017,Silent Anchors,3
T0244,H017,Rogue Payloads,4
T0245,H017,Humble Segfaults,4
T0246,H017,Paper Beacons,2
T0247,H017,Neon Payloads,3
T0248,H017,Quantum Shards,2
T0249,H017,Silent Tensors,2
T0250,H017,Lucid Monoliths,3
T0251,H018,Silent Anchors,2
T0252,H018,Amber Cascades,4
T0253,H018,Neon Heaps,3
T0254,H018,Frantic Threads,4
T0255,H018,Stray Kernels,1
T0256,H018,Neon Mutexes,1
T0257,H018,Hollow Callbacks,4
T0258,H018,Rapid Gradients,3
T0259,H018,Silent Monoliths,3
T0260,H018,Frantic Cascades,1
T0261,H018,Velvet Tensors,4
T0262,H018,Obsidian Shards,3
T0263,H018,Static Compilers,3
T0264,H018,Quantum Cascades,1
T0265,H018,Crimson Lambdas,3
T0266,H018,Feral Callbacks,3
T0267,H018,Stray Registers,1
T0268,H019,Neon Lambdas,2
T0269,H019,Stray Registers,2
T0270,H019,Frantic Payloads,4
T0271,H019,Frantic Gradients,3
T0272,H019,Humble Lambdas,4
T0273,H019,Midnight Daemons,2
T0274,H019,Copper Shards,3
T0275,H019,Velvet Beacons,3
T0276,H019,Static Beacons,4
T0277,H019,Neon Vectors,3
T0278,H019,Copper Registers,4
T0279,H019,Iron Pointers,3
T0280,H019,Feral Kernels,1
T0281,H019,Feral Cascades,3
T0282,H020,Granite Tensors,4
T0283,H020,Polar Mutexes,1
T0284,H020,Wandering Daemons,3
T0285,H020,Stray Runtimes,4
T0286,H020,Paper Kernels,4
T0287,H020,Amber Tensors,2
T0288,H020,Copper Heaps,2
T0289,H020,Brass Runtimes,2
T0290,H020,Paper Anchors,4
T0291,H020,Feral Pointers,4
T0292,H020,Feral Callbacks,3
T0293,H020,Iron Shards,3
T0294,H020,Silent Segfaults,3
T0295,H020,Feral Heaps,3
T0296,H020,Quantum Segfaults,3
T0297,H020,Amber Mutexes,2
T0298,H020,Polar Kernels,1
T0299,H021,Granite Heaps,4
T0300,H021,Lucid Sockets,3
T0301,H021,Rogue Buffers,3
T0302,H021,Crimson Callbacks,2
T0303,H021,Velvet Cursors,4
T0304,H021,Quantum Segfaults,3
T0305,H021,Hollow Shards,3
T0306,H021,Stray Registers,2
T0307,H021,Midnight Gradients,3
T0308,H021,Iron Tensors,3
T0309,H021,Hollow Cascades,2
T0310,H021,Rapid Gradients,3
T0311,H021,Hollow Gradients,4
T0312,H022,Iron Runtimes,3
T0313,H022,Obsidian Anchors,3
T0314,H022,Static Anchors,3
T0315,H022,Granite Gradients,2
T0316,H022,Brass Pipelines,2
T0317,H022,Iron Vectors,3
T0318,H022,Crimson Cascades,1
T0319,H022,Humble Monoliths,1
T0320,H022,Rapid Callbacks,2
T0321,H022,Copper Registers,3
T0322,H022,Cobalt Buffers,3
T0323,H022,Obsidian Cursors,3
T0324,H022,Frantic Vectors,2
T0325,H022,Neon Runtimes,3
T0326,H022,Feral Monoliths,3
T0327,H022,Stray Cascades,3
T0328,H022,Quantum Anchors,3
T0329,H022,Granite Pipelines,3
T0330,H022,Midnight Beacons,2
T0331,H022,Wandering Beacons,2
T0332,H023,Copper Mutexes,4
T0333,H023,Velvet Mutexes,3
T0334,H023,Hollow Compilers,3
T0335,H023,Rapid Anchors,3
T0336,H023,Feral Lambdas,3
T0337,H023,Quantum Pointers,2
T0338,H023,Cobalt Gradients,1
T0339,H023,Cobalt Heaps,2
T0340,H023,Amber Heaps,4
T0341,H023,Silent Heaps,4
T0342,H023,Brass Tensors,2
T0343,H023,Polar Heaps,4
T0344,H023,Brass Pointers,4
T0345,H024,Rogue Pointers,4
T0346,H024,Quantum Registers,3
T0347,H024,Rogue Kernels,4
T0348,H024,Stray Sockets,2
T0349,H024,Lucid Vectors,4
T0350,H024,Crimson Cursors,3
T0351,H024,Amber Heaps,4
T0352,H024,Velvet Lambdas,4
