project_id,team_id,hackathon_id,title,description,tech_stack,repo_url,demo_url,submitted_at
P0011,T0019,H002,TaxTrail,"Two of us had worked on freelancers reconstructing a year of expenses every March at internships and knew where it breaks. We built bank statement parsing with automatic category assignment and a quarterly estimate. Put together with FastAPI, Docker, Java Spring, Django. We benchmarked against a naive baseline and beat it on most of our test cases.",FastAPI|Docker|Java Spring|Django|Go|NumPy,https://github.com/aarohi-malhotra/tax-trail,https://tax-trail-demo.vercel.app,2024-02-22T21:05:29
P0012,T0020,H002,SIPSense,"Our entry addresses first-time investors picking funds on the basis of last year returns. The mechanism is a risk-profiling questionnaire mapped onto historical drawdown data. Put together with PostgreSQL, dbt, Kafka, MongoDB. It is not production-ready: the error handling is thin and we skipped auth entirely.",PostgreSQL|dbt|Kafka|MongoDB,https://github.com/devaryan/sipsense,https://sipsense-demo.vercel.app,2024-02-22T15:09:57
P0013,T0021,H002,TaxTrail,"A short survey of eleven users confirmed the core issue: freelancers reconstructing a year of expenses every March. The build is bank statement parsing with automatic category assignment and a quarterly estimate, with caching so the demo does not depend on the network. Put together with Vite, GraphQL, FastAPI.",Vite|GraphQL|FastAPI,https://github.com/gauri_verma/tax-trail,https://tax-trail-demo.vercel.app,2024-02-22T16:16:43
P0014,T0023,H002,CreditBridge,"We spent the first two hours talking to people about gig workers with no formal credit history. We settled on alternative scoring built from earnings regularity and platform ratings after discarding two heavier designs. We used TypeScript, MongoDB, Next.js, Kafka.",TypeScript|MongoDB|Next.js|Kafka|Go|Docker,https://github.com/devansh77/credit-bridge,https://credit-bridge-demo.vercel.app,2024-02-22T22:50:36
P0015,T0024,H002,InvoiceLoop,"Our mentor pushed us to justify why small vendors chasing payment by phone for weeks was worth solving; this is the result. We implemented invoice tracking with escalating automated reminders and a payment status API and tested it against real inputs. Put together with Vite, Kafka, Node.js, Tailwind CSS. The model is off-the-shelf; the interesting work is in the retrieval layer.",Vite|Kafka|Node.js|Tailwind CSS|gRPC|GraphQL,https://github.com/devlakshya/invoice-loop,,2024-02-22T10:10:47
P0016,T0025,H002,FraudFence,"Talking to the on-site mentors reframed UPI fraud that clears before anyone reviews it for us halfway through. Our solution is a streaming anomaly detector scoring transactions against the sender behavioural baseline. Built end to end with Tailwind CSS, TypeScript, PostgreSQL, Redis.",Tailwind CSS|TypeScript|PostgreSQL|Redis|gRPC|FastAPI,https://github.com/dishag/fraud-fence,,2024-02-22T16:12:58
P0017,T0027,H002,FraudFence,"We framed the challenge narrowly: UPI fraud that clears before anyone reviews it, for one specific user, end to end. At its core it is a streaming anomaly detector scoring transactions against the sender behavioural baseline. Built with Redis, Docker, Java Spring, GraphQL. Latency is the weak point, roughly four seconds on the heaviest path.",Redis|Docker|Java Spring|GraphQL|React,https://github.com/devmishka/fraud-fence,https://fraud-fence-demo.vercel.app,2024-02-22T17:41:10
P0018,T0028,H002,SplitFair,"A short survey of eleven users confirmed the core issue: flatmates arguing about shared expenses every month. Functionally it is receipt OCR plus a settlement engine that minimises the number of transfers. Implemented in React, gRPC, Redis, SQL.",React|gRPC|Redis|SQL,https://github.com/aditim/split-fair,https://split-fair-demo.vercel.app,2024-02-22T10:17:30
P0019,T0029,H002,CreditBridge,"Behind gig workers with no formal credit history is a data-access problem nobody owns. The submission implements alternative scoring built from earnings regularity and platform ratings. We leaned on NumPy, Vite, Java Spring, GraphQL to keep the build time down.",NumPy|Vite|Java Spring|GraphQL|Node.js|FastAPI,https://github.com/vihaan41/credit-bridge,,2024-02-22T09:24:49
P0020,T0031,H002,CreditBridge,"We wanted to attack gig workers with no formal credit history without adding another dashboard nobody opens. We settled on alternative scoring built from earnings regularity and platform ratings after discarding two heavier designs. We used Redis, NumPy, gRPC. We benchmarked against a naive baseline and beat it on most of our test cases.",Redis|NumPy|gRPC,https://github.com/ankitt/credit-bridge,https://credit-bridge-demo.vercel.app,2024-02-22T17:06:12
P0021,T0032,H003,MeetingMemory,"We chose decisions made in calls and then forgotten a fortnight later because it was small enough to finish and real enough to matter. We built transcription plus an extraction pass that turns decisions into a searchable timeline. Runs on FastAPI, Neo4j, PyTorch, Express, deployed during the event. The fallback path matters more than the happy path here, so we built that first.",FastAPI|Neo4j|PyTorch|Express|Tailwind CSS,https://github.com/ananya-iyer/meeting-memory,https://meeting-memory-demo.vercel.app,2024-04-06T08:17:46
P0022,T0038,H003,LegalRAG,"tenants signing rental agreements they have not read is the kind of problem everyone tolerates until it costs them something. The core of the build is a retrieval-augmented assistant that answers questions about an uploaded contract and flags unusual clauses. Stack: scikit-learn, PostgreSQL, OpenCV, OpenAI API. The fallback path matters more than the happy path here, so we built that first.",scikit-learn|PostgreSQL|OpenCV|OpenAI API|Java Spring|LangChain,https://github.com/aryand/legal-rag,https://legal-rag-demo.vercel.app,2024-04-06T15:13:45
P0023,T0039,H003,GrantMatch,"Talking to the on-site mentors reframed small nonprofits missing funding calls they were eligible for for us halfway through. The submission implements semantic matching between an organisation profile and open grant listings. Everything runs on Next.js, Node.js, Express. The biggest limitation is that it only handles the single-user case.",Next.js|Node.js|Express,https://github.com/devriya/grant-match,https://grant-match-demo.vercel.app,2024-04-06T10:55:32
P0024,T0042,H003,PaperTrail,"We wanted to attack researchers drowning in preprints outside their niche without adding another dashboard nobody opens. We prototyped a multi-agent reader that summarises new arXiv papers and traces how they cite each other in the first four hours and spent the rest hardening it. Runs on Express, Python, scikit-learn, Next.js, deployed during the event. We cut the mobile view to finish the core flow.",Express|Python|scikit-learn|Next.js|OpenAI API,https://github.com/gauravahujadev/paper-trail,https://paper-trail-demo.vercel.app,2024-04-06T22:46:56
P0025,T0043,H004,SkillSetu,"We kept the scope to migrant workers unable to prove trade skills to a new employer rather than trying to build a platform. What we demoed was a portable verified skill record backed by previous employer attestations. Implemented in SQL, TypeScript, React Native, tRPC.",SQL|TypeScript|React Native|tRPC|Firebase|DuckDB,https://github.com/ngupta/skill-setu,https://skill-setu-demo.vercel.app,2024-05-21T08:44:46
P0026,T0045,H004,ShelterFind,"Our starting point was night shelters with beds empty while people sleep outside, deliberately narrow. Concretely: live bed availability with an outreach-worker facing map. We picked Flutter, Jetpack Compose, Firebase, Vite because the whole team already knew it. What surprised us was how much of the difficulty was in cleaning the input.",Flutter|Jetpack Compose|Firebase|Vite|Airflow|tRPC,https://github.com/inanda/shelter-find,https://shelter-find-demo.vercel.app,2024-05-21T16:19:06
P0027,T0046,H004,MealLink,"We framed the challenge narrowly: restaurant surplus discarded while shelters go short, for one specific user, end to end. We went with time-windowed surplus matching with pickup logistics because it degraded gracefully when inputs were missing. The stack is TypeScript, Node.js, Tailwind CSS, tRPC, chosen for how fast we could iterate on it. The biggest limitation is that it only handles the single-user case.",TypeScript|Node.js|Tailwind CSS|tRPC|React Native,https://github.com/mihir_saxena/meal-link,,2024-05-21T16:01:42
P0028,T0047,H004,LegalAidLine,"undertrials unaware they qualify for free legal aid turns out to be mostly an integration problem. Our implementation is an eligibility checker in seven languages connected to aid clinics, plus a thin review interface. The stack is DuckDB, dbt, Next.js, chosen for how fast we could iterate on it. The UI is rough but every button does something real.",DuckDB|dbt|Next.js,https://github.com/jahnavikrishnandev/legal-aid-line,https://legal-aid-line-demo.vercel.app,2024-05-21T10:27:39
P0029,T0049,H004,SignSpeak,"Most existing tools in this space ignore deaf users excluded from government service counters entirely. Our approach was sign language recognition producing text for the counter operator, kept deliberately simple. Built with Kotlin, MongoDB, DuckDB, PostgreSQL. We tested it on 11 real samples and it held up on all but two.",Kotlin|MongoDB|DuckDB|PostgreSQL|Vite|React,https://github.com/pranavgandhidev/sign-speak,https://sign-speak-demo.vercel.app,2024-05-21T12:57:28
P0030,T0050,H004,LegalAidLine,"The team converged quickly on undertrials unaware they qualify for free legal aid as the thing worth building. We validated an eligibility checker in seven languages connected to aid clinics against a small hand-labelled set before building the UI. Written using Vite, Flutter, Node.js.",Vite|Flutter|Node.js,https://github.com/advikasharmadev/legal-aid-line,https://legal-aid-line-demo.vercel.app,2024-05-21T13:42:24
P0031,T0051,H004,MealLink,"We kept the scope to restaurant surplus discarded while shelters go short rather than trying to build a platform. The pipeline is time-windowed surplus matching with pickup logistics. Technology-wise: Firebase, dbt, React, TypeScript.",Firebase|dbt|React|TypeScript|Express|Vite,https://github.com/nehabasudev/meal-link,,2024-05-21T16:26:09
P0032,T0054,H004,LegalAidLine,"This project exists because of undertrials unaware they qualify for free legal aid. We validated an eligibility checker in seven languages connected to aid clinics against a small hand-labelled set before building the UI. The implementation uses Node.js, Swift, Flutter, Kotlin. It works offline, which matters for the users we spoke to.",Node.js|Swift|Flutter|Kotlin|React|Tableau,,https://legal-aid-line-demo.vercel.app,2024-05-21T15:50:55
P0033,T0055,H004,ShelterFind,"The team converged quickly on night shelters with beds empty while people sleep outside as the thing worth building. The system works by live bed availability with an outreach-worker facing map. We leaned on Spark, Firebase, tRPC, PostgreSQL to keep the build time down. The model is off-the-shelf; the interesting work is in the retrieval layer.",Spark|Firebase|tRPC|PostgreSQL|Tailwind CSS|React,https://github.com/advait-sinha/shelter-find,,2024-05-21T21:56:15
P0034,T0056,H004,LegalAidLine,"Our entry addresses undertrials unaware they qualify for free legal aid. The demo path is an eligibility checker in seven languages connected to aid clinics. We used Next.js, NumPy, React.",Next.js|NumPy|React,https://github.com/sneha_malik/legal-aid-line,https://legal-aid-line-demo.vercel.app,2024-05-21T15:36:36
P0035,T0057,H004,MealLink,"Everyone on the team had personally hit restaurant surplus discarded while shelters go short, which made scoping fast. The architecture is time-windowed surplus matching with pickup logistics. We leaned on Node.js, Vite, TypeScript, dbt to keep the build time down. The biggest limitation is that it only handles the single-user case.",Node.js|Vite|TypeScript|dbt|tRPC,https://github.com/devmishka/meal-link,https://meal-link-demo.vercel.app,2024-05-21T13:04:58
P0036,T0058,H005,MindLog,"Rather than a general platform, we targeted therapists with no visibility between fortnightly sessions directly. We went with a structured mood journal producing a clinician-readable trend report because it degraded gracefully when inputs were missing. We used scikit-learn, Redis, Transformers, with no paid infrastructure. We tested it on 35 real samples and it held up on all but two.",LLM Fine-tuning|Redis|Transformers,https://github.com/aarohisrivastava/mind-log,https://mind-log-demo.vercel.app,2024-06-25T15:51:47
P0037,T0060,H005,BloodBridge,"We wanted to attack blood banks and hospitals unable to see each other inventory without adding another dashboard nobody opens. The final build is a shared availability registry with expiry-aware matching, running end to end. We leaned on scikit-learn, Transformers, React Native, scikit-learn to keep the build time down. What surprised us was how much of the difficulty was in cleaning the input.",LLM Fine-tuning|Transformers|React Native|scikit-learn,https://github.com/harsh-pandey/blood-bridge,https://blood-bridge-demo.vercel.app,2024-06-25T14:12:54
P0038,T0061,H005,MindLog,"Everyone on the team had personally hit therapists with no visibility between fortnightly sessions, which made scoping fast. We shipped a structured mood journal producing a clinician-readable trend report, with the rest stubbed. Implemented in gRPC, scikit-learn, PyTorch, HuggingFace. The dataset is small, so treat the accuracy number with suspicion.",gRPC|RAG|PyTorch|HuggingFace,https://github.com/raghavp/mind-log,https://mind-log-demo.vercel.app,2024-06-25T14:16:39
P0039,T0062,H005,TriageTalk,"rural clinics with one doctor and a queue of ninety is the kind of problem everyone tolerates until it costs them something. The demo path is a symptom intake assistant that orders the queue by urgency. We picked Java Spring, Firebase, Python, Docker because the whole team already knew it. Two features in the pitch deck are not implemented and we said so on stage.",Java Spring|Firebase|Python|Docker|Jetpack Compose,https://github.com/bhavyas/triage-talk,,2024-06-25T09:00:32
P0040,T0063,H005,VaxTrack,"Talking to the on-site mentors reframed parents losing the paper immunisation card for us halfway through. Concretely: a digital schedule with reminders and a portable verifiable record. Technology-wise: Django, Redis, scikit-learn. We cut the mobile view to finish the core flow.",Django|Redis|RAG,https://github.com/mghosh/vax-track,,2024-06-25T13:03:48
P0041,T0064,H005,BloodBridge,"The problem we scoped was blood banks and hospitals unable to see each other inventory. We built a shared availability registry with expiry-aware matching. Tooling: Docker, Flask, Redis, Python.",Docker|Flask|Redis|Python|RAG,https://github.com/ishaan_sharma/blood-bridge,,2024-06-25T15:02:47
P0042,T0065,H005,DermScan,"The judging brief pushed us toward skin conditions ignored until they need hospitalisation, which none of us had built for before. The pipeline is an image classifier flagging lesions that warrant a referral, with explicit uncertainty. Assembled from scikit-learn, OpenCV, scikit-learn.",LangChain|OpenCV|scikit-learn,https://github.com/devarjun/derm-scan,https://derm-scan-demo.vercel.app,2024-06-25T15:13:49
P0043,T0066,H005,PhysioPose,"Two of us had worked on physiotherapy patients doing home exercises incorrectly at internships and knew where it breaks. The working prototype is pose estimation giving real-time form correction from a phone camera. The services are written in Flutter, Kotlin, React Native, scikit-learn. One teammate dropped out on day two, so the scope is smaller than planned.",Flutter|Kotlin|React Native|scikit-learn|Python,https://github.com/nverma/physio-pose,https://physio-pose-demo.vercel.app,2024-06-25T17:44:02
P0044,T0067,H005,VaxTrack,"A short survey of eleven users confirmed the core issue: parents losing the paper immunisation card. The build is a digital schedule with reminders and a portable verifiable record, with caching so the demo does not depend on the network. Runs on Kotlin, Swift, React Native, deployed during the event. It works offline, which matters for the users we spoke to.",Kotlin|Swift|React Native,https://github.com/prateek-mittal/vax-track,https://vax-track-demo.vercel.app,2024-06-25T21:19:42
P0045,T0069,H005,DoseDiary,"elderly patients on six medications missing doses turns out to be mostly an integration problem. Our approach was a scheduling app with pill-image recognition and a caregiver escalation path, kept deliberately simple. The services are written in Firebase, OpenAI API, React Native. We deliberately kept a human in the loop before anything is written back.",Firebase|OpenAI API|React Native,https://github.com/samaira-kaur/dose-diary,https://dose-diary-demo.vercel.app,2024-06-25T10:14:15
P0046,T0070,H005,MindLog,"We treated therapists with no visibility between fortnightly sessions as a latency problem rather than an accuracy one. Functionally it is a structured mood journal producing a clinician-readable trend report. Technology-wise: Jetpack Compose, OpenCV, TensorFlow, Python. The model is off-the-shelf; the interesting work is in the retrieval layer.",Jetpack Compose|OpenCV|TensorFlow|Python,https://github.com/devgaurav/mind-log,https://mind-log-demo.vercel.app,2024-06-25T17:01:30
P0047,T0071,H005,DoseDiary,"We kept the scope to elderly patients on six medications missing doses rather than trying to build a platform. The submission implements a scheduling app with pill-image recognition and a caregiver escalation path. We used PyTorch, Transformers, scikit-learn, HuggingFace, with no paid infrastructure. We benchmarked against a naive baseline and beat it on most of our test cases.",PyTorch|Transformers|LangChain|HuggingFace|OpenAI API,https://github.com/pranavgandhidev/dose-diary,,2024-06-25T19:50:41
P0048,T0072,H005,PhysioPose,"Rather than a general platform, we targeted physiotherapy patients doing home exercises incorrectly directly. We ended up with pose estimation giving real-time form correction from a phone camera after the first design proved too slow. Put together with scikit-learn, Python, OpenCV, scikit-learn.",LangChain|Python|OpenCV|RAG|OpenAI API,https://github.com/devmihir/physio-pose,,2024-06-25T23:16:16
P0049,T0073,H005,ReportReader,"Behind patients handed a lab report they cannot interpret is a data-access problem nobody owns. At its core it is extraction of values with plain-language explanation and out-of-range flagging. Implemented in scikit-learn, Django, scikit-learn, Python. The biggest limitation is that it only handles the single-user case.",LangChain|Django|LLM Fine-tuning|Python,https://github.com/gauri_verma/report-reader,https://report-reader-demo.vercel.app,2024-06-25T12:56:48
P0050,T0074,H005,ReportReader,"We framed the challenge narrowly: patients handed a lab report they cannot interpret, for one specific user, end to end. At its core it is extraction of values with plain-language explanation and out-of-range flagging. We leaned on React Native, scikit-learn, Firebase, scikit-learn to keep the build time down.",React Native|LLM Fine-tuning|Firebase|scikit-learn|OpenCV,https://github.com/myra_dhillon/report-reader,,2024-06-25T16:32:57
P0051,T0075,H005,DermScan,"We chose skin conditions ignored until they need hospitalisation because it was small enough to finish and real enough to matter. The final build is an image classifier flagging lesions that warrant a referral, with explicit uncertainty, running end to end. Put together with OpenCV, scikit-learn, Jetpack Compose. What surprised us was how much of the difficulty was in cleaning the input.",OpenCV|RAG|Jetpack Compose,https://github.com/devaniket/derm-scan,https://derm-scan-demo.vercel.app,2024-06-25T09:17:16
P0052,T0076,H006,ReviewRadar,"The problem we scoped was pull requests sitting unreviewed for a week. The working prototype is reviewer suggestion based on file ownership and recent context. Technology-wise: Node.js, Tailwind CSS, TypeScript, Java Spring. The dataset is small, so treat the accuracy number with suspicion.",Node.js|Tailwind CSS|TypeScript|Java Spring,https://github.com/darsh-mittal/review-radar,,2024-08-09T13:08:40
P0053,T0077,H006,MigrateMate,"Our mentor pushed us to justify why database migrations that fail halfway on production was worth solving; this is the result. The core of the build is dry-run simulation against a schema snapshot with rollback generation. Runs on Docker, Go, FastAPI, Node.js, deployed during the event. The biggest limitation is that it only handles the single-user case.",Docker|Go|FastAPI|Node.js|GraphQL|Flask,https://github.com/dhruv-agarwal/migrate-mate,https://migrate-mate-demo.vercel.app,2024-08-09T19:59:54
P0054,T0078,H006,LogLens,"The interesting part of production incidents debugged by grepping twelve services is that the data usually already exists somewhere. Functionally it is trace-correlated log aggregation with anomaly highlighting. We leaned on Kafka, Vite, Django, GraphQL to keep the build time down. The biggest limitation is that it only handles the single-user case.",Kafka|Vite|Django|GraphQL|Java Spring,https://github.com/sneha_malik/log-lens,https://log-lens-demo.vercel.app,2024-08-09T18:35:06
P0055,T0079,H006,LogLens,"The team converged quickly on production incidents debugged by grepping twelve services as the thing worth building. We built trace-correlated log aggregation with anomaly highlighting. The services are written in Express, FastAPI, GraphQL, gRPC. It is not production-ready: the error handling is thin and we skipped auth entirely.",Express|FastAPI|GraphQL|gRPC|GCP|Go,https://github.com/pari-sethi/log-lens,https://log-lens-demo.vercel.app,2024-08-09T17:57:04
P0056,T0080,H006,LogLens,"Our entry addresses production incidents debugged by grepping twelve services. We implemented trace-correlated log aggregation with anomaly highlighting and tested it against real inputs. Written using FastAPI, Redis, Terraform, Docker.",FastAPI|Redis|Terraform|Docker|GraphQL|Django,https://github.com/yash16/log-lens,https://log-lens-demo.vercel.app,2024-08-09T21:29:36
P0057,T0081,H006,FlakeFinder,"The interesting part of CI suites nobody trusts because a tenth of failures are noise is that the data usually already exists somewhere. The mechanism is historical run analysis isolating tests that fail non-deterministically. Written using TypeScript, GCP, Terraform. We deliberately kept a human in the loop before anything is written back.",TypeScript|GCP|Terraform,https://github.com/kunal77/flake-finder,,2024-08-09T21:08:56
P0058,T0082,H006,SecretSweep,"Rather than a general platform, we targeted API keys committed and noticed six months later directly. Our approach was pre-commit entropy scanning with a rotation workflow, kept deliberately simple. We picked TypeScript, Java Spring, tRPC, Django because the whole team already knew it. Two features in the pitch deck are not implemented and we said so on stage.",TypeScript|Java Spring|tRPC|Django,https://github.com/hemant_srivastava/secret-sweep,https://secret-sweep-demo.vercel.app,2024-08-09T13:45:28
P0059,T0083,H006,LogLens,"The judging brief pushed us toward production incidents debugged by grepping twelve services, which none of us had built for before. The build is trace-correlated log aggregation with anomaly highlighting, with caching so the demo does not depend on the network. Assembled from PostgreSQL, Django, Next.js.",PostgreSQL|Django|Next.js,https://github.com/snehareddy/log-lens,https://log-lens-demo.vercel.app,2024-08-09T21:19:23
P0060,T0084,H006,FlakeFinder,"The team converged quickly on CI suites nobody trusts because a tenth of failures are noise as the thing worth building. Concretely: historical run analysis isolating tests that fail non-deterministically. Runs on gRPC, Kubernetes, Go, Kafka, deployed during the event. Latency is the weak point, roughly four seconds on the heaviest path.",gRPC|Kubernetes|Go|Kafka|Flask|MongoDB,https://github.com/manvi-yadav/flake-finder,https://flake-finder-demo.vercel.app,2024-08-09T20:33:12
P0061,T0085,H006,DocDrift,"The premise was that documentation that silently stops matching the code is a workflow problem, not a technology one. We implemented linking doc snippets to symbols and flagging drift on change and tested it against real inputs. Technology-wise: Java Spring, GraphQL, Kafka, Django. We deliberately kept a human in the loop before anything is written back.",Java Spring|GraphQL|Kafka|Django|GitHub Actions|Nginx,https://github.com/manan-tandon/doc-drift,,2024-08-09T19:37:36
P0062,T0086,H006,MigrateMate,"We wanted to attack database migrations that fail halfway on production without adding another dashboard nobody opens. We ended up with dry-run simulation against a schema snapshot with rollback generation after the first design proved too slow. Written using Vite, tRPC, Flask, Prometheus. We benchmarked against a naive baseline and beat it on most of our test cases.",Vite|tRPC|Flask|Prometheus|Kafka,https://github.com/manan_gupta/migrate-mate,https://migrate-mate-demo.vercel.app,2024-08-09T14:28:51
P0063,T0089,H006,MigrateMate,"We chose database migrations that fail halfway on production because it was small enough to finish and real enough to matter. Our design is dry-run simulation against a schema snapshot with rollback generation, with a human confirmation step before anything is written. Technology-wise: gRPC, Express, Next.js. It works offline, which matters for the users we spoke to.",gRPC|Express|Next.js,https://github.com/chirag_prasad/migrate-mate,https://migrate-mate-demo.vercel.app,2024-08-09T12:08:50
P0064,T0091,H006,DepDrift,"We framed the challenge narrowly: dependency upgrades nobody dares to run, for one specific user, end to end. Our solution is changelog diffing plus blast-radius estimation from actual call sites. We leaned on Tailwind CSS, Docker, TypeScript, FastAPI to keep the build time down.",Tailwind CSS|Docker|TypeScript|FastAPI|GraphQL,https://github.com/neelp/dep-drift,https://dep-drift-demo.vercel.app,2024-08-09T08:42:29
P0065,T0093,H007,CropCast,"Most existing tools in this space ignore smallholder farmers planting against the wrong forecast entirely. We built downscaled weather prediction delivered as a voice call in the local language. We leaned on Pandas, Tableau, Airflow, PostgreSQL to keep the build time down. We deliberately kept a human in the loop before anything is written back.",Pandas|Tableau|Airflow|PostgreSQL|DuckDB|dbt,https://github.com/gauridubey/crop-cast,https://crop-cast-demo.vercel.app,2024-09-15T19:13:14
P0066,T0094,H007,CropCast,"We treated smallholder farmers planting against the wrong forecast as a latency problem rather than an accuracy one. The core of the build is downscaled weather prediction delivered as a voice call in the local language. Assembled from Pandas, Node.js, PostgreSQL, Next.js. It is not production-ready: the error handling is thin and we skipped auth entirely.",Pandas|Node.js|PostgreSQL|Next.js|Tableau|Airflow,https://github.com/manan34/crop-cast,,2024-09-15T09:11:13
P0067,T0096,H007,CarbonLedger,"Our mentor pushed us to justify why small manufacturers asked for emissions data they do not collect was worth solving; this is the result. Concretely: invoice-derived scope-two estimation with an auditable calculation trail. Implemented in Tailwind CSS, Node.js, Vite.",Tailwind CSS|Node.js|Vite,https://github.com/deveesha/carbon-ledger,https://carbon-ledger-demo.vercel.app,2024-09-15T13:11:11
P0068,T0097,H007,WasteWise,"Our mentor pushed us to justify why municipal trucks running fixed routes past empty bins was worth solving; this is the result. The build is fill-level sensing with route optimisation against collection cost, with caching so the demo does not depend on the network. Built end to end with React, Vite, Express, SQL. We tested it on 37 real samples and it held up on all but two.",React|Vite|Express|SQL|dbt|Tableau,https://github.com/karan-malik/waste-wise,,2024-09-15T12:13:59
P0069,T0098,H007,WaterWatch,"borewell depletion noticed only when the pump runs dry is the kind of problem everyone tolerates until it costs them something. The working prototype is crowd-sourced water-level readings plotted against seasonal baselines. Written using SQL, Tableau, TypeScript, DuckDB. Two features in the pitch deck are not implemented and we said so on stage.",SQL|Tableau|TypeScript|DuckDB|Node.js|Embedded C,https://github.com/devmanan/water-watch,,2024-09-15T10:51:42
P0070,T0100,H007,GridGaze,"We kept the scope to housing societies unable to see which load is driving their bill rather than trying to build a platform. We shipped non-intrusive load disaggregation from a single smart-meter feed, with the rest stubbed. Built with Tailwind CSS, Next.js, PostgreSQL, Pandas.",Tailwind CSS|Next.js|PostgreSQL|Pandas,https://github.com/devom/grid-gaze,https://grid-gaze-demo.vercel.app,2024-09-15T20:36:06
P0071,T0102,H007,CropCast,"The premise was that smallholder farmers planting against the wrong forecast is a workflow problem, not a technology one. What we demoed was downscaled weather prediction delivered as a voice call in the local language. Written using Next.js, Tableau, LoRaWAN. The dataset is small, so treat the accuracy number with suspicion.",Next.js|Tableau|LoRaWAN,https://github.com/advaitbasu/crop-cast,https://crop-cast-demo.vercel.app,2024-09-15T22:48:13
